instrument,datetime,open,high,low,close,volume
AAPL,4/12/2010,7.288670087,7.314851718,7.276933715,7.291378975,333026400
AAPL,4/13/2010,7.278438338,7.306726166,7.25586722,7.295590878,306210800
AAPL,4/14/2010,7.381357576,7.397307146,7.344944696,7.393695831,404076400
AAPL,4/15/2010,7.396401332,7.494205717,7.38827628,7.490895748,376784800
AAPL,4/16/2010,7.480364728,7.557705834,7.359388919,7.445155621,750545600
AAPL,4/19/2010,7.434021715,7.459901998,7.275728981,7.435225487,566924400
AAPL,4/20/2010,7.47946294,7.500829482,7.311540836,7.360593319,738326400
AAPL,4/21/2010,7.788222236,7.831858546,7.695834794,7.800861835,982391200
AAPL,4/22/2010,7.77137203,8.027468416,7.70998048,8.019042015,793424800
AAPL,4/23/2010,8.064780476,8.190872691,8.034988346,8.15024662,796955600
AAPL,4/26/2010,8.181846558,8.199300438,8.070800661,8.11022377,479068800
AAPL,4/27/2010,8.043115476,8.060268818,7.839984267,7.885725975,709343600
AAPL,4/28/2010,7.922140007,7.944709517,7.716299901,7.872485638,758402400
AAPL,4/29/2010,7.91521911,8.125272448,7.88482508,8.084345818,558840800
AAPL,4/30/2010,8.104503828,8.142421814,7.854427213,7.857135296,542463600
AAPL,5/3/2010,7.939893903,8.061472394,7.911003392,8.015428543,454342000
AAPL,5/4/2010,7.91130664,7.923343551,7.726531737,7.784611702,723819600
AAPL,5/5/2010,7.614580506,7.768358637,7.485177533,7.70365715,883103200
AAPL,5/6/2010,7.638660205,7.771673776,5.996150932,7.410551071,1285860800
AAPL,5/7/2010,7.33411232,7.420179584,6.777379975,7.097876549,1676018400
AAPL,5/10/2010,7.530923248,7.663334902,7.479161876,7.643472672,984306400
AAPL,5/11/2010,7.578770431,7.821024179,7.5384457,7.719609261,848906800
AAPL,5/12/2010,7.801464308,7.918529084,7.785214999,7.887231827,654379600
AAPL,5/13/2010,7.921234241,7.974801253,7.715996087,7.774980068,599712400
AAPL,5/14/2010,7.678684144,7.718407809,7.508354456,7.638358593,759362800
AAPL,5/17/2010,7.664841131,7.70937988,7.454486445,7.65039587,762834800
AAPL,5/18/2010,7.73345282,7.780699643,7.531223236,7.594420433,782678400
AAPL,5/19/2010,7.508353512,7.611273575,7.368418677,7.473444939,1025726800
AAPL,5/20/2010,7.279038529,7.338323869,7.108408352,7.155054092,1282915200
AAPL,5/21/2010,7.006391971,7.35788605,6.962154569,7.292282104,1223891200
AAPL,5/24/2010,7.441543764,7.550482655,7.4108484,7.425894737,754238800
AAPL,5/25/2010,7.20290298,7.425896439,7.136998495,7.379552841,1048006400
AAPL,5/26/2010,7.525809244,7.587501343,7.335315975,7.346149921,850654000
AAPL,5/27/2010,7.541455463,7.640463657,7.496616181,7.624212742,666282400
AAPL,5/28/2010,7.805978931,7.806279472,7.624212656,7.730443478,815614800
